id;lending_date;returning_date;rent_status
1;2020-06-15T11:46:33;2020-06-14T20:10:07;Pants program input
2;2020-06-15T10:35:03;2020-06-15T16:02:00;Madagascar
3;2020-06-15T06:34:01;2020-06-14T22:03:20;Progressive protocol Checking Account
4;2020-06-14T20:04:11;2020-06-14T19:52:29;Avon Cross-group
5;2020-06-15T06:56:21;2020-06-15T03:35:34;Handmade
6;2020-06-15T13:08:11;2020-06-15T03:51:58;Bulgarian Lev
7;2020-06-14T20:18:09;2020-06-15T02:24:54;disintermediate South Georgia and the South Sandwich Islands Convertible Marks
8;2020-06-15T08:27:39;2020-06-15T07:11:03;Sudanese Pound navigating bypass
9;2020-06-15T05:24:36;2020-06-15T04:39:55;matrix
10;2020-06-15T00:35:56;2020-06-15T10:35:29;mobile Global
